time,clear_sky_rad:W,clear_sky_energy_1h:J,sun_elevation:d,is_day:idx,direct_rad_1h:J,pv_measurement,diffuse_rad_1h:J,pressure_100m:hPa
2019-09-04 15:00:00,0.4802650773142166,0.5799842034610553,0.8073213835085181,1.0,0.28817081127559413,0.0,0.9216311105165989,0.4039759939985001
2019-09-04 16:00:00,0.2724544658858834,0.3771563370965445,0.7318281036948283,1.0,0.418582244612178,0.0,0.6547353471371065,0.39422355588897307
2019-09-04 17:00:00,0.09227691409994582,0.17757829905675596,0.65341491948033,1.0,0.3135880991220067,0.0,0.33311811700120714,0.39009752438109474
2019-09-04 18:00:00,0.0054599258116950775,0.039167582360970864,0.5764938713664263,0.5,0.04117027377678051,0.0,0.09852782796909713,0.38597149287321814
2019-09-04 19:00:00,0.0,0.0005421068079202869,0.5053365612301085,0.0,0.0,0.0,0.006295988066123272,0.3780945236309079
2019-09-04 20:00:00,0.0,0.0,0.44422044597110133,0.0,0.0,0.0,0.0,0.36796624156038943
2019-09-04 21:00:00,0.0,0.0,0.3973732422980091,0.0,0.0,0.0,0.0,0.35558889722430626
2019-09-04 22:00:00,0.0,0.0,0.3685486950467409,0.0,0.0,0.0,0.0,0.3469617404351083
2019-09-04 23:00:00,0.0,0.0,0.3603770587827547,0.0,0.0,0.0,0.0,0.3360840210052522
2019-09-05 00:00:00,0.0,0.0,0.3679869499115152,0.0,0.0,0.0,0.0,0.3263315828957235
2019-09-05 01:00:00,0.0,0.0,0.4003809193761966,0.0,0.0,0.0,0.0,0.3154538634658674
2019-09-05 02:00:00,0.0,0.0,0.4502094683242627,0.0,0.0,0.0,0.0,0.3049512378094526
2019-09-05 03:00:00,0.0,0.0,0.5135550095886968,0.0,0.0,0.0,0.0,0.29819954988747144
2019-09-05 04:00:00,0.010544742216479806,0.0018146108888630222,0.5861400880252287,0.5,0.0,0.0,0.002999437958355282,0.2970742685671424
2019-09-05 05:00:00,0.11174092443629392,0.05161940978605705,0.6636843227336747,1.0,0.0,0.0,0.025432018722585638,0.29744936234058544
2019-09-05 06:00:00,0.29921227024548824,0.20171523048856396,0.7418897782783759,1.0,0.0,0.0,0.09018484798788928,0.29444861215303786
2019-09-05 07:00:00,0.5058141958071103,0.4038406530399472,0.8162888253807405,1.0,0.0,0.0,0.15346995702120528,0.2959489872468116
2019-09-05 08:00:00,0.6920768557495935,0.6029944920964396,0.8820393380053598,1.0,0.0,0.0,0.19457628187509965,0.30570142535633865
2019-09-05 09:00:00,0.836702371525028,0.7702080691371941,0.9338925100449685,1.0,0.0,0.0,0.23867902984915734,0.31432858214553666
2019-09-05 10:00:00,0.9260200891926812,0.8883173186614322,0.966716565628807,1.0,0.0,0.0,0.296499446003775,0.32520630157539443
